method	network	commit	batch_size	opt_gap_mean	eq_violation_l1_mean	ineq_violation_l1_mean	merit_mean	avg_inference_time	status	description	save_dir	eval_summary	run_log
penalty	LocalContextMLPv2	8d0bfa7	256	33.02781721	0.06536048	0.00365184	69035.40386336	0.00058883	discard	set batch_size=768	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-002448_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-002448_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter019-20260415-002444.log
penalty	LocalContextMLPv2	b428410	256	29.72617446	0.05206862	0.00654459	58635.72351328	0.00057623	discard	set penalty.ineq_pen_weight=75	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-003042_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-003042_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter020-20260415-003038.log
penalty	LocalContextMLPv2	7b6df6b	256	28.5844038	0.0615321	0.01374623	75300.65007669	0.00057355	discard	set penalty.eq_pen_weight=100	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-003721_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-003721_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter021-20260415-003717.log
penalty	LocalContextMLPv2	8166862	256	30.89558504	0.05808252	0.00629153	64396.77157881	0.00057673	discard	set LocalContextMLPv2.coarse_loss_weight=1.5	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-004359_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-004359_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter022-20260415-004355.log
penalty	LocalContextMLPv2	5e28fde	256	34.48884868	0.09453787	0.01103213	105593.34870951	0.0005987	discard	set num_layers=5	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-005036_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-005036_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter023-20260415-005032.log
penalty	LocalContextMLPv2	7742be8	256	30.45367624	0.05636426	0.00726228	63649.18114801	0.00057358	discard	set LocalContextMLPv2.coarse_loss_weight=1.25	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-005810_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-005810_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter024-20260415-005805.log
penalty	LocalContextMLPv2	834b0d8	256	30.4932342	0.04932277	0.00836191	57707.32788934	0.00057924	discard	set LocalContextMLPv2.coarse_loss_weight=0.75	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-010449_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-010449_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter025-20260415-010445.log
penalty	LocalContextMLPv2	a176c49	256	55.40366024	0.06302693	0.00844126	71495.15867821	0.00057366	discard	set penalty.ineq_pen_weight=60	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-011129_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-011129_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter026-20260415-011125.log
penalty	LocalContextMLPv2	1e41154	256	52.99387006	0.05372715	0.01072541	64479.11761295	0.00057998	discard	set penalty.eq_pen_weight=200	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-011807_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-011807_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter027-20260415-011802.log
penalty	LocalContextMLPv2	675402a	256	55.0257693	0.06546122	0.0055761	71064.23341859	0.00058317	discard	set dropout=0.25	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-012445_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-012445_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter028-20260415-012441.log
